,DBN,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear
197,02M414,20102011,47.4,440,0.9,11.1,33.4,14.1,35.9,16.4,42.7,2010,2011
198,02M414,20112012,51.6,436,0.5,9.4,33,11.7,39.9,15.4,42.4,2011,2012
199,02M416,20052006,NA,468,0.2,2.6,25.9,9,12.6,49.1,37.6,2005,2006
200,02M416,20062007,NA,479,NA,2.5,21.7,7.5,10.9,55.3,37.4,2006,2007
201,02M416,20072008,NA,484,0,2.3,21.1,8.5,12.4,57,37.2,2007,2008
202,02M416,20082009,NA,506,NA,2,20.9,8.1,12.1,58.1,35.4,2008,2009
203,02M416,20092010,26.7,498,0.6,2.2,18.1,8.2,9.8,61.2,35.9,2009,2010
204,02M416,20102011,16.7,499,0.2,2.2,19.6,7.4,10,62.5,33.3,2010,2011
205,02M416,20112012,15.8,507,0.2,1.2,17.2,5.5,11.6,63.7,32.5,2011,2012
206,02M418,20052006,NA,458,0.7,4.4,38.4,10.5,18.3,23.6,41.7,2005,2006
207,02M418,20062007,NA,519,0.4,8.1,35.6,10.2,18.3,26.8,38.2,2006,2007
208,02M418,20072008,NA,548,0.4,9.7,27.4,9.1,22.3,30.1,36.3,2007,2008
209,02M418,20082009,NA,573,0.2,9.6,27.4,13.1,23.9,33.9,37.5,2008,2009
210,02M418,20092010,44.8,619,0.2,8.9,28.3,12,22.1,35.2,35.4,2009,2010
211,02M418,20102011,44.8,637,0,8.9,28.3,9.3,24.8,37.2,37.8,2010,2011
212,02M418,20112012,32.7,626,0.2,9.1,30,8.8,21.7,35.9,38.2,2011,2012
213,02M419,20052006,NA,430,5.1,19.3,3,32.8,56.7,5.1,52.3,2005,2006
214,02M419,20072008,NA,450,8.4,18,2.4,26.7,67.3,2.2,46.7,2007,2008
215,02M419,20082009,NA,440,9.8,15.9,1.4,23.2,72.7,2.7,46.6,2008,2009
216,02M419,20092010,82.7,452,12.6,14.2,0.9,21.7,74.6,2,45.8,2009,2010
217,02M419,20102011,85.1,442,14.9,14.7,4.1,17.9,76.2,1.6,44.3,2010,2011
218,02M419,20112012,83.1,421,15.7,18.8,5.2,18.1,74.8,1.9,48.5,2011,2012
219,02M420,20052006,NA,1476,6,6.3,22.2,24.8,45.7,4.5,30.3,2005,2006
220,02M420,20062007,NA,1474,3.7,5.9,22.5,25,44.5,4.1,30.9,2006,2007
221,02M420,20072008,NA,1521,4.1,6.6,21.8,24.8,46.5,6,31,2007,2008
222,02M420,20082009,NA,1620,3.5,7.2,20.7,24.3,48.6,6,30.3,2008,2009
223,02M420,20092010,81.4,1695,4,7.9,18.9,23.7,50.7,5.3,28.3,2009,2010
224,02M420,20102011,81.4,1721,4.4,9.7,19.5,24.4,50.6,5.3,29.2,2010,2011
225,02M420,20112012,68,1768,4,10.9,20.5,24.4,49.7,5.3,29.4,2011,2012
226,02M425,20052006,NA,682,5.1,11.4,11.3,26.5,53.2,8.5,41.5,2005,2006
227,02M425,20062007,NA,683,4,14.9,11.4,27.5,54.2,5.9,45.7,2006,2007
228,02M425,20072008,NA,693,5.2,14.9,10.5,28.3,55.6,5.3,49.9,2007,2008
229,02M425,20082009,NA,663,3.5,15.1,8.3,29.9,56.3,4.8,49.3,2008,2009
230,02M425,20092010,85.5,646,4.2,16.1,9.3,30.8,51.7,6.3,48.8,2009,2010
231,02M425,20102011,80.4,646,5.3,16.7,8.5,29.4,54.2,7.6,46.6,2010,2011
232,02M425,20112012,74.2,607,5.4,18.6,8.1,30.5,54.2,6.6,46.1,2011,2012
233,02M427,20102011,60,79,84.8,12.7,7.6,11.4,78.5,2.5,55.7,2010,2011
234,02M427,20112012,97.5,175,86.9,6.9,6.3,8,84.6,1.1,54.9,2011,2012
235,02M429,20052006,NA,497,6.8,16.9,9.1,42.5,42.7,4.4,48.3,2005,2006
236,02M429,20062007,NA,360,5,16.4,3.9,44.7,46.1,3.1,46.7,2006,2007
237,02M429,20072008,NA,378,7.4,18,3.2,44.7,48.1,2.9,50.5,2007,2008
238,02M429,20082009,NA,380,3.4,18.7,3.9,46.1,45.8,3.2,47.4,2008,2009
239,02M429,20092010,82.5,394,6.9,18.8,2.5,46.2,47.7,2.5,45.4,2009,2010
240,02M429,20102011,86.5,354,7.6,24.3,1.1,45.2,52.8,0.3,47.7,2010,2011
241,02M429,20112012,93.9,294,8.2,22.4,1.4,45.2,51.4,1.7,49,2011,2012
242,02M432,20102011,60,141,9.2,22.7,8.5,46.1,38.3,5.7,56.7,2010,2011
243,02M432,20112012,78,214,7.5,27.1,7.9,41.1,45.3,4.2,53.7,2011,2012
244,02M437,20102011,60,110,8.2,15.5,7.3,25.5,54.5,10,67.3,2010,2011
245,02M437,20112012,61.5,226,8.8,16.4,5.8,23.5,62.4,6.6,60.6,2011,2012
246,02M438,20102011,60,87,94.3,0,34.5,9.2,52.9,3.4,58.6,2010,2011
247,02M438,20112012,82.8,176,94.9,0.6,40.3,12.5,43.2,3.4,61.4,2011,2012
248,02M439,20052006,NA,361,3.9,10.8,8,25.8,54.8,5.8,37.7,2005,2006
249,02M439,20062007,NA,402,3.7,8.5,6,28.9,59.5,4.5,36.3,2006,2007
250,02M439,20072008,NA,397,2.8,8.8,7.1,26.7,59.9,5,34.5,2007,2008
251,02M439,20082009,NA,393,2,9.2,6.6,28,59.3,5.1,35.1,2008,2009
252,02M439,20092010,76,449,3.6,10,6.5,25.2,61.7,5.6,38.1,2009,2010
253,02M439,20102011,79.1,433,3.5,8.5,7.2,22.2,66.1,4.4,39.7,2010,2011
254,02M439,20112012,60.3,429,3.7,8.2,6.3,16.8,71.8,4.9,38.5,2011,2012
255,02M440,20052006,NA,2026,20.3,11.7,13.6,24.7,56.7,3.1,50.3,2005,2006
256,02M440,20062007,NA,1895,18.7,12.1,12.2,24.5,58.3,2.7,49.9,2006,2007
257,02M440,20072008,NA,1727,25.5,12.4,9.5,27.2,59.4,2.5,50,2007,2008
258,02M440,20082009,NA,1507,22,12.7,8.2,29.3,58.1,2.9,49.8,2008,2009
259,02M440,20092010,64.1,992,25.9,12.5,7.9,28,60.4,2.4,49.6,2009,2010
260,02M440,20102011,73.4,488,28.3,13.9,9,26.4,61.3,2.9,54.5,2010,2011
261,02M440,20112012,75.5,208,26,13.5,6.3,27.9,62.5,2.4,63.9,2011,2012
262,02M442,20052006,NA,156,1.9,0.6,10.9,52.6,24.4,10.9,37.8,2005,2006
263,02M442,20062007,NA,157,1.3,0.6,12.1,51.6,22.3,13.4,35,2006,2007
264,02M442,20072008,NA,161,3.7,1.9,13,47.2,23.6,15.5,38.5,2007,2008
265,02M442,20082009,NA,145,5.5,2.8,17.9,40.7,23.4,16.6,40.7,2008,2009
266,02M445,20052006,NA,289,15.9,12.5,34.6,19.4,45.3,0.7,54,2005,2006
267,02M449,20052006,NA,366,5.7,18.3,1.9,33.6,52.5,8.5,53,2005,2006
268,02M449,20062007,NA,382,5.2,19.9,1.6,32.5,53.7,8.4,46.3,2006,2007
269,02M449,20072008,NA,415,5.8,19.3,2.7,33.7,54,6.3,46,2007,2008
270,02M449,20082009,NA,436,6.7,17.7,3.9,32.1,57.1,5.3,44.7,2008,2009
271,02M449,20092010,79.2,431,7.4,19,5.3,28.8,59.4,4.6,45,2009,2010
272,02M449,20102011,79.7,428,6.5,18,9.3,26.9,59.6,3.5,45.6,2010,2011
273,02M449,20112012,69.5,444,6.1,17.3,9.9,25.7,59,4.5,46.2,2011,2012
274,02M459,20052006,NA,329,67.5,0.6,28,11.2,46.5,13.4,43.5,2005,2006
275,02M459,20062007,NA,341,53.4,0.3,27.6,13.8,44.9,13.5,46,2006,2007
276,02M459,20072008,NA,323,65,0.6,24.5,14.6,45.2,15.8,49.2,2007,2008
277,02M459,20082009,NA,308,60.7,0.3,25.3,14.9,43.2,16.2,50.6,2008,2009
278,02M459,20092010,94.4,309,67,1,24.3,17.5,41.4,16.2,49.2,2009,2010
279,02M459,20102011,90.5,320,73.8,0.6,33.4,14.7,36.9,15,48.8,2010,2011
280,02M459,20112012,80.7,325,77.5,0.3,33.5,14.8,36.9,14.5,44.3,2011,2012
281,02M460,20052006,NA,2817,14,10.6,4.2,31.8,60.2,2.5,44.6,2005,2006
282,02M460,20062007,NA,2609,13.1,12.2,3.6,32.7,59.7,2.4,44.4,2006,2007
283,02M460,20072008,NA,2411,19.2,11.1,3.1,32.8,60.1,1.9,44.2,2007,2008
284,02M460,20082009,NA,1676,20.9,12.3,3.9,31.6,61.8,1.7,46,2008,2009
285,02M460,20092010,68.8,1478,20,12.3,5,31.1,61,2.3,45.6,2009,2010
