,DBN,school_name,Borough,lat_long,lat,long
246,27Q400,August Martin High School,Queens,"(40.675526809, -73.783432513)",40.67552681,-73.78343251
247,11X508,Bronxdale High School,Bronx,"(40.859698316, -73.860741404)",40.85969832,-73.8607414
248,07X527,Bronx Leadership Academy II High School,Bronx,"(40.82277649, -73.923522794)",40.82277649,-73.92352279
249,03M860,Frederick Douglass Academy II Secondary School,Manhattan,"(40.802174581, -73.954008828)",40.80217458,-73.95400883
250,12X271,East Bronx Academy for the Future,Bronx,"(40.836953426, -73.887961758)",40.83695343,-73.88796176
251,31R600,Ralph R. McKee Career and Technical Education High School,Staten Island,"(40.642741044, -74.078711063)",40.64274104,-74.07871106
252,24Q600,Queens Vocational and Technical High School,Queens,"(40.742188694, -73.928243292)",40.74218869,-73.92824329
253,14K610,Automotive High School,Brooklyn,"(40.72264264, -73.952583045)",40.72264264,-73.95258305
254,04M555,Central Park East High School,Manhattan,"(40.793678882, -73.949416495)",40.79367888,-73.9494165
255,28Q686,QUEENS METROPOLITAN HIGH SCHOOL,Queens,"(40.710435548, -73.850630155)",40.71043555,-73.85063016
256,10X442,"Celia Cruz Bronx High School of Music, The",Bronx,"(40.870377467, -73.898162952)",40.87037747,-73.89816295
257,17K382,Academy for College Preparation and Career Exploration: A College Board School,Brooklyn,"(40.649439675, -73.958431198)",40.64943968,-73.9584312
258,09X404,School for Excellence,Bronx,"(40.827602669001, -73.904475257)",40.82760267,-73.90447526
259,27Q351,Rockaway Collegiate High School,Queens,"(40.586007187, -73.823089444)",40.58600719,-73.82308944
260,26Q415,Benjamin N. Cardozo High School,Queens,"(40.752392424, -73.756083358)",40.75239242,-73.75608336
261,11X288,Collegiate Institute for Math and Science,Bronx,"(40.859698316, -73.860741404)",40.85969832,-73.8607414
262,31R605,Staten Island Technical High School,Staten Island,"(40.567913003, -74.115362243)",40.567913,-74.11536224
263,10X374,Knowledge and Power Preparatory Academy International High School (Kappa),Bronx,"(40.860012221, -73.888229604)",40.86001222,-73.8882296
264,07X495,University Heights Secondary School,Bronx,"(40.818173536, -73.911092663)",40.81817354,-73.91109266
265,29Q243,Institute for Health Professions at Cambria Heights,Queens,"(40.695536336, -73.734918342)",40.69553634,-73.73491834
266,25Q670,Robert F. Kennedy Community High School,Queens,"(40.725603161, -73.810721147)",40.72560316,-73.81072115
267,15K497,School for International Studies,Brooklyn,"(40.685451806, -73.993491465)",40.68545181,-73.99349147
268,02M437,Hudson High School of Learning Technologies,Manhattan,"(40.742888101, -74.002127381)",40.7428881,-74.00212738
269,11X299,Astor Collegiate Academy,Bronx,"(40.859698316, -73.860741404)",40.85969832,-73.8607414
270,05M362,Columbia Secondary School,Manhattan,"(40.810917853, -73.956927387)",40.81091785,-73.95692739
271,29Q248,Queens Preparatory Academy,Queens,"(40.668232288, -73.756839894)",40.66823229,-73.75683989
272,05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,"(40.815364829, -73.94389671)",40.81536483,-73.94389671
273,05M367,Academy for Social Action: A College Board School,Manhattan,"(40.815230365, -73.955201206)",40.81523037,-73.95520121
274,17K531,"School for Human Rights, The",Brooklyn,"(40.659517006001, -73.942546499)",40.65951701,-73.9425465
