,DBN,School_Name,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,Borough
107,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368,1111,20112012,75.5,208,26,13.5,6.3,27.9,62.5,2.4,63.9,Manhattan
108,02M449,VANGUARD HIGH SCHOOL,72,395,416,388,1199,20092010,79.2,431,7.4,19,5.3,28.8,59.4,4.6,45,Manhattan
109,02M449,VANGUARD HIGH SCHOOL,72,395,416,388,1199,20102011,79.7,428,6.5,18,9.3,26.9,59.6,3.5,45.6,Manhattan
110,02M449,VANGUARD HIGH SCHOOL,72,395,416,388,1199,20112012,69.5,444,6.1,17.3,9.9,25.7,59,4.5,46.2,Manhattan
111,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391,1227,20092010,94.4,309,67,1,24.3,17.5,41.4,16.2,49.2,Manhattan
112,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391,1227,20102011,90.5,320,73.8,0.6,33.4,14.7,36.9,15,48.8,Manhattan
113,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391,1227,20112012,80.7,325,77.5,0.3,33.5,14.8,36.9,14.5,44.3,Manhattan
114,02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360,1120,20092010,68.8,1478,20,12.3,5,31.1,61,2.3,45.6,Manhattan
115,02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360,1120,20102011,65.8,1231,20.1,16.1,4.8,32.8,60,2.1,46.4,Manhattan
116,02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360,1120,20112012,66,1032,18.6,17.2,4.8,34.3,58.2,2.3,47.5,Manhattan
117,02M475,STUYVESANT HIGH SCHOOL,832,679,735,682,2096,20092010,36.7,3277,0,0.4,69.3,1.8,2.8,25.8,58.3,Manhattan
118,02M475,STUYVESANT HIGH SCHOOL,832,679,735,682,2096,20102011,41.3,3287,0,0.3,71.6,1.2,2.9,24.1,58.8,Manhattan
119,02M475,STUYVESANT HIGH SCHOOL,832,679,735,682,2096,20112012,30.3,3297,0,0.4,72.1,1.2,2.4,23.7,59.3,Manhattan
120,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,1374,20092010,72.5,825,5.9,11.8,28.4,23.2,37.7,10.8,55.9,Manhattan
121,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,1374,20102011,72.5,807,5.1,12.4,27.8,23.2,39.9,9.2,55,Manhattan
122,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,1374,20112012,60.8,809,6.3,11.9,24.8,22.5,43.5,8.8,54.5,Manhattan
123,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351,1070,20092010,86.8,231,16,19,1.7,35.1,59.7,1.3,60.6,Manhattan
124,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351,1070,20102011,96,224,15.2,29.9,4,32.6,59.4,0.4,60.7,Manhattan
125,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351,1070,20112012,83.5,237,15.6,32.9,3.8,35,55.3,2.5,62.4,Manhattan
126,02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475,1416,20092010,51.3,419,0.2,2.9,2.6,34.6,38.7,19.1,22.7,Manhattan
127,02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475,1416,20112012,45.5,491,0.2,3.5,4.5,36,39.3,19.8,21.4,Manhattan
