DBN,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,avg_class_size,avg_largest_class,avg_smallest_class,Borough,lat_long,lat,long,Total Grads - % of cohort,Dropped Out - % of cohort,exams_per_student,high_score_percent
02M489,HS OF ECONOMICS & FINANCE,101,176,78,20092010,72.5,825,5.9,11.8,28.4,23.2,37.7,10.8,55.9,2009,2010,167,443,489,442,1374,27.33333333,32.22222222,20.16666667,Manhattan,"(40.709219625, -74.012025915)",40.70921963,-74.01202592,76.8,7.3,1.7425742574257426,44.31818181818182
02M489,HS OF ECONOMICS & FINANCE,101,176,78,20102011,72.5,807,5.1,12.4,27.8,23.2,39.9,9.2,55,2010,2011,167,443,489,442,1374,27.33333333,32.22222222,20.16666667,Manhattan,"(40.709219625, -74.012025915)",40.70921963,-74.01202592,76.8,7.3,1.7425742574257426,44.31818181818182
02M489,HS OF ECONOMICS & FINANCE,101,176,78,20112012,60.8,809,6.3,11.9,24.8,22.5,43.5,8.8,54.5,2011,2012,167,443,489,442,1374,27.33333333,32.22222222,20.16666667,Manhattan,"(40.709219625, -74.012025915)",40.70921963,-74.01202592,76.8,7.3,1.7425742574257426,44.31818181818182
02M519,TALENT UNLIMITED,30,34,21,20092010,51.3,419,0.2,2.9,2.6,34.6,38.7,19.1,22.7,2009,2010,81,469,472,475,1416,25.85,29.4375,21.0625,Manhattan,"(40.765445402, -73.960213786)",40.7654454,-73.96021379,92.6,0,1.1333333333333333,61.76470588235294
02M519,TALENT UNLIMITED,30,34,21,20112012,45.5,491,0.2,3.5,4.5,36,39.3,19.8,21.4,2011,2012,81,469,472,475,1416,25.85,29.4375,21.0625,Manhattan,"(40.765445402, -73.960213786)",40.7654454,-73.96021379,92.6,0,1.1333333333333333,61.76470588235294
02M520,MURRY BERGTRAUM H.S.,118,157,76,20092010,72.5,2562,11.2,11.9,12.2,34.3,50.2,2.6,49,2009,2010,264,407,440,393,1240,26.97058824,33.35294118,16.76470588,Manhattan,"(40.710679471, -74.000807021)",40.71067947,-74.00080702,56.4,11.6,1.3305084745762712,48.40764331210191
02M520,MURRY BERGTRAUM H.S.,118,157,76,20102011,68.4,2401,11.8,13.5,11.7,36.6,49,2.5,49.9,2010,2011,264,407,440,393,1240,26.97058824,33.35294118,16.76470588,Manhattan,"(40.710679471, -74.000807021)",40.71067947,-74.00080702,56.4,11.6,1.3305084745762712,48.40764331210191
02M520,MURRY BERGTRAUM H.S.,118,157,76,20112012,72.7,2073,10.2,14.1,10.5,39.9,46.6,2.3,49.1,2011,2012,264,407,440,393,1240,26.97058824,33.35294118,16.76470588,Manhattan,"(40.710679471, -74.000807021)",40.71067947,-74.00080702,56.4,11.6,1.3305084745762712,48.40764331210191
02M529,JACQUELINE K. ONASSIS HS,80,118,29,20092010,65.8,707,7.9,14.6,5.5,24.3,66.9,3,37.6,2009,2010,131,414,425,400,1239,26.05,30.44444444,19.83333333,Manhattan,"(40.757757386, -73.983187793)",40.75775739,-73.98318779,64.9,10.1,1.475,24.576271186440678
02M529,JACQUELINE K. ONASSIS HS,80,118,29,20102011,76.6,709,10.4,16.6,5.2,22.4,69.3,2.8,37,2010,2011,131,414,425,400,1239,26.05,30.44444444,19.83333333,Manhattan,"(40.757757386, -73.983187793)",40.75775739,-73.98318779,64.9,10.1,1.475,24.576271186440678
02M529,JACQUELINE K. ONASSIS HS,80,118,29,20112012,73,724,9.8,13.7,5.1,22.7,69.9,1.8,40.6,2011,2012,131,414,425,400,1239,26.05,30.44444444,19.83333333,Manhattan,"(40.757757386, -73.983187793)",40.75775739,-73.98318779,64.9,10.1,1.475,24.576271186440678
02M542,Manhattan Bridges High School,67,102,59,20092010,93.8,509,81.7,1,0,0,100,0,53.8,2009,2010,66,336,378,344,1058,23.475,26.9375,19.1875,Manhattan,"(40.765026708, -73.992516578)",40.76502671,-73.99251658,69.4,13.5,1.5223880597014925,57.84313725490197
02M542,Manhattan Bridges High School,67,102,59,20102011,93.8,539,77.9,1.5,0,0,99.8,0,50.1,2010,2011,66,336,378,344,1058,23.475,26.9375,19.1875,Manhattan,"(40.765026708, -73.992516578)",40.76502671,-73.99251658,69.4,13.5,1.5223880597014925,57.84313725490197
02M542,Manhattan Bridges High School,67,102,59,20112012,83.5,541,72.6,1.7,0.2,0,99.8,0,51.4,2011,2012,66,336,378,344,1058,23.475,26.9375,19.1875,Manhattan,"(40.765026708, -73.992516578)",40.76502671,-73.99251658,69.4,13.5,1.5223880597014925,57.84313725490197
02M545,High School for Dual Language and Asian Studies,61,96,89,20092010,91.3,324,54,1.5,87,6.8,3.7,1.9,55.6,2009,2010,78,412,581,431,1424,21.81764706,26.29411765,16.58823529,Manhattan,"(40.716867224, -73.989531943)",40.71686722,-73.98953194,92.6,0,1.5737704918032787,92.70833333333334
02M545,High School for Dual Language and Asian Studies,61,96,89,20102011,91.3,339,44.2,1.2,86.4,6.5,2.9,2.9,52.2,2010,2011,78,412,581,431,1424,21.81764706,26.29411765,16.58823529,Manhattan,"(40.716867224, -73.989531943)",40.71686722,-73.98953194,92.6,0,1.5737704918032787,92.70833333333334
02M545,High School for Dual Language and Asian Studies,61,96,89,20112012,82.6,353,38.2,2.3,89.5,3.4,4,2.3,51.3,2011,2012,78,412,581,431,1424,21.81764706,26.29411765,16.58823529,Manhattan,"(40.716867224, -73.989531943)",40.71686722,-73.98953194,92.6,0,1.5737704918032787,92.70833333333334
