"","DBN","SchoolName","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","StartingYear","EndingYear","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score"
"69","02M580","R.R.GREEN HS OF TEACHING",67,117,40,20112012,67,610,6.4,21.8,2.3,35.1,59.3,2.3,32.6,2011,2012,84,408,384,403,1195
"70","02M600","HS FOR FASHION INDUSTRIES",70,87,26,20092010,76.7,1674,2.8,10.3,4.2,38.8,50.8,4.8,8.1,2009,2010,335,423,423,411,1257
"71","02M600","HS FOR FASHION INDUSTRIES",70,87,26,20102011,79.1,1634,2.9,11.1,4.1,40.2,50.7,4.3,7.8,2010,2011,335,423,423,411,1257
"72","02M600","HS FOR FASHION INDUSTRIES",70,87,26,20112012,68.3,1599,2.8,11.5,3.8,39.1,52.3,4.1,7.3,2011,2012,335,423,423,411,1257
"73","02M615","CHELSEA VHS",52,97,13,20092010,82.6,610,4.8,13.4,3.8,34.1,59.3,2.1,65.7,2009,2010,83,399,418,390,1207
"74","02M615","CHELSEA VHS",52,97,13,20102011,80.5,502,5,15.3,6.4,31.9,60.4,1.2,64.9,2010,2011,83,399,418,390,1207
"75","02M615","CHELSEA VHS",52,97,13,20112012,69.8,466,6.2,15.7,7.1,29.6,60.5,1.5,65,2011,2012,83,399,418,390,1207
"76","02M620","NORMAN THOMAS H.S.",34,34,14,20092010,71.3,2139,15.7,11.1,3.2,27.1,67.2,1.4,50.7,2009,2010,154,370,379,359,1108
"77","02M620","NORMAN THOMAS H.S.",34,34,14,20102011,76.8,1736,18.5,15,2,27.4,68.7,1.6,51.3,2010,2011,154,370,379,359,1108
"78","02M620","NORMAN THOMAS H.S.",34,34,14,20112012,81.1,1127,19.3,15.5,1.6,25.6,70.6,2,52,2011,2012,154,370,379,359,1108
"79","02M625","HS COMMUNICATION GRAPHIC ART",79,85,9,20092010,84.6,1820,9.8,15,2.6,32.5,61.3,2.3,46.4,2009,2010,191,395,382,376,1153
"80","02M625","HS COMMUNICATION GRAPHIC ART",79,85,9,20102011,84.6,1699,10.5,17,3.1,31.6,62.7,2.4,47.2,2010,2011,191,395,382,376,1153
"81","02M625","HS COMMUNICATION GRAPHIC ART",79,85,9,20112012,72.7,1433,9.1,17.2,3.1,30.3,63.8,2.6,46.5,2011,2012,191,395,382,376,1153
"82","02M630","HS OF ART AND DESIGN",84,100,33,20092010,55.1,1387,2.6,10.2,7.1,27.3,52.6,10.5,49,2009,2010,270,444,441,430,1315
"83","02M630","HS OF ART AND DESIGN",84,100,33,20102011,61.9,1283,2.3,9.9,8.7,27.4,50.7,11.8,48,2010,2011,270,444,441,430,1315
"84","02M630","HS OF ART AND DESIGN",84,100,33,20112012,53.3,1344,1.6,11.1,9,26.8,51,12.6,46.7,2011,2012,270,444,441,430,1315
"85","02M655","LIFE SCIENCES SECONDARY SCHL",50,90,10,20092010,77.1,700,6.9,18,2.1,30.3,64.3,1.7,53.4,2009,2010,61,409,424,403,1236
