,DBN,SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class
248,11X299,Astor Collegiate Academy,24.19333333,29.66666667,19
249,11X322,Aspire Preparatory Middle School,31.1,33,30
250,11X326,Bronx Green Middle School,28,28.5,27.5
251,11X370,School of Diplomacy,31,31,31
252,11X415,Christopher Columbus High School,27.29411765,31.23529412,21.64705882
253,11X418,Bronx High School for the Visual Arts,26.96470588,29.05882353,24.94117647
254,11X455,Harry S Truman High School,28.54444444,34.33333333,16.16666667
255,11X513,New World High School,21.71666667,25.5,17
256,11X514,The Bronxwood Preparatory Academy,22.9875,27,18.375
257,11X541,Global Enterprise High School,21.2875,25.1875,17.0625
258,11X542,Pelham Preparatory Academy,27.45294118,31.64705882,22.17647059
259,11X544,High School for Contemporary Arts,25.62352941,30.47058824,20.52941176
260,11X545,Bronx Aerospace High School,20.77368421,25.78947368,16.89473684
261,12X211,P.S. 211,27.7,29,25
262,12X212,P.S. 212,12,12,12
263,12X242,Mott Hall V,24.9,27,22.8
264,12X245,New Day Academy,20.45,22.64285714,18.42857143
265,12X248,"Metropolitan High School, The",23.29230769,25.46153846,20.61538462
266,12X251,Explorations Academy,21.15625,23.8125,18.5
267,12X262,Performance Conservatory High School,25.91538462,30.15384615,21.76923077
268,12X267,Bronx Latin,21.7,26.07142857,17.5
269,12X271,East Bronx Academy for the Future,26.97857143,30.78571429,22.21428571
270,12X278,Peace and Diversity Academy,21.04210526,22.21052632,19.94736842
271,12X286,Fannie Lou Hamer Middle School,23.75,24.5,23
272,12X372,Urban Assembly School for Wildlife Conservation,20.05,21,19.16666667
273,12X384,Entrada Academy,31,31,31
274,12X388,Pan American International High School at Monroe,15.36153846,18.07692308,13.23076923
275,12X478,THE CINEMA SCHOOL,22.69090909,25,18.72727273
276,12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,21.94285714,24.14285714,18.85714286
277,12X480,Bronx Regional High School,27.28333333,31.83333333,22.83333333
278,12X550,High School of World Cultures,23.16666667,28.73333333,17.93333333
279,12X680,Bronx Coalition Community High School,13.375,13.5,13.25
280,12X682,Fannie Lou Hamer Freedom High School,22.46666667,25.41666667,18.75
281,12X684,Wings Academy,24.54705882,29.76470588,19.11764706
282,12X690,Monroe Academy for Business/Law,22.90666667,27.8,18.2
283,12X692,Monroe Academy for Visual Arts & Design,22.2,30.18181818,16.45454545
284,13K113,M.S. 113 Ronald Edmonds Learning Center,26.73333333,29,23.66666667
285,13K265,Dr. Susan S. McKinney Secondary School of the Arts,21.44375,25.5,16.6875
286,13K336,Academy of Business and Community Development,21.2875,21.625,20.875
287,13K350,Urban Assembly High School of Music and Art at Water's Edge,22.16923077,28.53846154,18.84615385
288,13K412,"Brooklyn Community High School of Communication, Arts and Media",25.2,28.86666667,20.66666667
289,13K419,Science Skills Center High School at Water's Edge,27.16111111,32.22222222,20.11111111
290,13K430,Brooklyn Technical High School,32.45263158,33.94736842,28.57894737
291,13K439,Brooklyn International High School at Water's Edge,19.58571429,21.35714286,17.21428571
292,13K483,The Urban Assembly School for Law and Justice,22.22142857,26.35714286,17.5
293,13K499,ACORN Community High School,27.15333333,32.06666667,20.26666667
294,13K509,Freedom Academy High School,23.33571429,27.85714286,19.5
295,13K527,Urban Assembly Institute of Math and Science for Young Women,24.9,25.66666667,23.66666667
296,13K553,Brooklyn Academy High School,22.46363636,25.36363636,20
297,13K575,Bedford Stuyvesant Preparatory High School,18.19166667,20.91666667,16.08333333
298,13K595,Bedford Academy High School,21.79375,25.4375,17.5625
299,13K596,Knowledge and Power Preparatory Academy VII Middle School,20,20,20
300,13K605,George Westinghouse Career and Technical Education High School,26.7375,32.4375,19.875
301,13K616,Brooklyn High School for Leadership and Community Service,18.38333333,21.5,15.5
302,13K670,Benjamin Banneker Academy,27.89473684,31.84210526,21.05263158
303,13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",21.37,28.5,13.1
304,14K050,J.H.S. 050 John D. Wells,29.3,31,27
305,14K071,Juan Morel Campos Secondary School,30.05,32.28571429,26.5
306,14K126,John Ericsson Middle School 126,23,28,18
307,14K322,Foundations Academy,20.6,22.83333333,18.5
308,14K404,Academy for Young Writers,22.53076923,26.61538462,17.84615385
309,14K449,"Brooklyn Latin School, The",23.26,28.53333333,17
310,14K454,Green School: An Academy for Environmental Careers,23.66153846,27.15384615,19.53846154
311,14K474,PROGRESS High School for Professional Careers,25.8375,30.9375,18.75
312,14K477,School for Legal Studies,27.43333333,32.13333333,21.66666667
313,14K478,"The High School for Enterprise, Business and Technology",29.36111111,40.94444444,17.94444444
314,14K488,Brooklyn Preparatory High School,23.40666667,26.26666667,20
315,14K558,Williamsburg High School for Architecture and Design,25.36153846,29.07692308,21.23076923
316,14K561,Williamsburg Preparatory School,25.38888889,29.55555556,20.55555556
317,14K586,Lyons Community School,20.7625,25.375,16.875
318,14K610,Automotive High School,25.56,30.06666667,19.33333333
319,14K614,Young Women's Leadership School of Brooklyn,21,21,21
320,14K632,Frances Perkins Academy,17.3375,19.75,15
321,14K685,El Puente Academy for Peace and Justice,22.3375,24.25,20.875
322,15K136,I.S. 136 Charles O. Dewey,21,21,21
323,15K429,Brooklyn School for Global Studies,25.25714286,28.92857143,21
324,15K443,New Voices School of Academic & Creative Arts,30.5,31,30
325,15K448,Brooklyn Secondary School for Collaborative Studies,23.1,26.46666667,19.8
326,15K462,Secondary School for Law,25.9,30.76470588,20
327,15K463,Secondary School for Journalism,23.77857143,27.71428571,19
328,15K464,Secondary School for Research,26.7375,28.6875,24.4375
329,15K497,School for International Studies,23.52666667,27.46666667,19.46666667
330,15K519,Cobble Hill School of American Studies,26.88235294,31.23529412,21.52941176
331,15K520,Pacific High School,19.93846154,24,15.53846154
332,15K529,West Brooklyn Community High School,16.17,19.4,12.9
333,15K530,Metropolitan Corporate Academy High School,22.16470588,27.35294118,17.17647059
334,15K656,Brooklyn High School of the Arts,26.775,31.875,18.875
335,15K667,SUNSET PARK HIGH SCHOOL,26.85555556,30.44444444,24
336,15K698,South Brooklyn Community High School,19.11,22.3,16.5
337,16K057,J.H.S. 057 Whitelaw Reid,18.3,19,17.5
338,16K308,P.S. 308 Clara Cardwell,27.1,45,19
339,16K393,Frederick Douglass Academy IV Secondary School,22.30769231,28,16.23076923
340,16K455,Boys and Girls High School,26.51333333,34.4,16.46666667
341,16K498,ACORN High School for Social Justice,26.64,29.33333333,22.33333333
