"","DBN","School_Name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","Borough","lat_long","lat","long"
"60","02M288","FOOD AND FINANCE HIGH SCHOOL",62,409,393,392,1194,20052006,NA,204,5.4,13.7,2,48,41.7,3.4,38.2,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"61","02M288","FOOD AND FINANCE HIGH SCHOOL",62,409,393,392,1194,20062007,NA,324,4.6,13.9,2.2,46,46,4,41,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"62","02M288","FOOD AND FINANCE HIGH SCHOOL",62,409,393,392,1194,20072008,NA,405,5.2,16.5,2,48.4,43.7,3.7,41.2,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"63","02M288","FOOD AND FINANCE HIGH SCHOOL",62,409,393,392,1194,20082009,NA,433,3.7,18,2.3,46.2,46.7,3.9,43.4,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"64","02M288","FOOD AND FINANCE HIGH SCHOOL",62,409,393,392,1194,20092010,77.3,436,3,18.1,1.8,45,47.9,3.4,42.9,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"65","02M288","FOOD AND FINANCE HIGH SCHOOL",62,409,393,392,1194,20102011,74.7,423,3.1,19.4,1.9,46.3,47.5,3.8,42.6,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"66","02M288","FOOD AND FINANCE HIGH SCHOOL",62,409,393,392,1194,20112012,68.4,433,2.1,18.5,3,44.1,47.6,4.8,45,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"67","02M294","ESSEX STREET ACADEMY",53,394,384,378,1156,20052006,NA,183,5.5,13.1,6.6,23,51.9,12,52.5,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"68","02M294","ESSEX STREET ACADEMY",53,394,384,378,1156,20062007,NA,270,7.4,13,5.2,24.1,54.1,14.1,53.3,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"69","02M294","ESSEX STREET ACADEMY",53,394,384,378,1156,20072008,NA,343,6.4,14.9,6.1,25.7,56.6,10.5,52.2,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"70","02M294","ESSEX STREET ACADEMY",53,394,384,378,1156,20082009,NA,353,6.8,17.3,5.1,30.6,55.2,8.2,51.8,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"71","02M294","ESSEX STREET ACADEMY",53,394,384,378,1156,20092010,73.2,365,6.3,17.5,4.7,29.6,56.7,7.7,51.8,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"72","02M294","ESSEX STREET ACADEMY",53,394,384,378,1156,20102011,75.6,328,5.5,20.4,5.2,29,58.2,7.3,54,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"73","02M294","ESSEX STREET ACADEMY",53,394,384,378,1156,20112012,60.8,343,3.8,20.4,4.1,27.7,60.6,7.6,53.4,"Manhattan","(40.716867224, -73.989531943)",40.716867224,-73.989531943
"74","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362,1111,20052006,NA,214,5.6,5.1,2.8,35.5,55.1,3.7,27.6,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"75","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362,1111,20062007,NA,303,4.3,7.3,3.3,34.3,56.1,3,27.4,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"76","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362,1111,20072008,NA,376,6.1,10.4,4,35.4,54.3,3.2,30.1,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"77","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362,1111,20082009,NA,389,5.7,12.1,5.4,34.2,57.6,2.6,28.5,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"78","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362,1111,20092010,66.7,386,10.1,14.5,4.9,32.1,59.6,1.8,29.8,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"79","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362,1111,20102011,68.3,390,12.8,17.7,5.4,29.2,63.3,1.8,32.3,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"80","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362,1111,20112012,72.4,419,9.5,14.8,5.3,26.5,66.1,2.1,32.2,"Manhattan","(40.765026708, -73.992516578)",40.765026708,-73.992516578
"81","02M298","PACE HIGH SCHOOL",85,423,438,432,1293,20052006,NA,208,1.9,2.9,38.5,23.6,23.1,5.3,51.9,"Manhattan","(40.716412393001, -73.992675844)",40.716412393001,-73.992675844
"82","02M298","PACE HIGH SCHOOL",85,423,438,432,1293,20062007,NA,310,1.6,7.1,29.4,27.4,29,5.2,51.6,"Manhattan","(40.716412393001, -73.992675844)",40.716412393001,-73.992675844
"83","02M298","PACE HIGH SCHOOL",85,423,438,432,1293,20072008,NA,410,0.7,9.8,29,26.1,31,7.3,50,"Manhattan","(40.716412393001, -73.992675844)",40.716412393001,-73.992675844
"84","02M298","PACE HIGH SCHOOL",85,423,438,432,1293,20082009,NA,410,2.2,12.7,19.8,29.8,39.5,6.1,46.6,"Manhattan","(40.716412393001, -73.992675844)",40.716412393001,-73.992675844
"85","02M298","PACE HIGH SCHOOL",85,423,438,432,1293,20092010,62.2,413,1.2,14,14,32.2,42.4,7.5,45.8,"Manhattan","(40.716412393001, -73.992675844)",40.716412393001,-73.992675844
"86","02M298","PACE HIGH SCHOOL",85,423,438,432,1293,20102011,67,413,2.2,12.6,10.9,36.3,41.6,6.8,45,"Manhattan","(40.716412393001, -73.992675844)",40.716412393001,-73.992675844
"87","02M298","PACE HIGH SCHOOL",85,423,438,432,1293,20112012,56.7,414,2.2,13.8,10.1,32.4,42,3.9,43.7,"Manhattan","(40.716412393001, -73.992675844)",40.716412393001,-73.992675844
